framework,pipeline,question_id,category,difficulty,tier,seed,latency,token_count,accuracy,completeness,groundedness,coherence,overall,status
langgraph,P1,Q01,market_analysis,medium,short,0,8.217515699972864,469,8,9,9,8,8.55,ok
langgraph,P1,Q02,market_analysis,easy,short,0,3.7121955000329763,386,8,9,9,8,8.55,ok
langgraph,P2,Q01,market_analysis,medium,short,0,7.013524200010579,495,9,9,9,8,8.85,ok
langgraph,P2,Q02,market_analysis,easy,short,0,11.715165200002957,519,8,9,9,8,8.55,ok
langgraph,P3,Q01,market_analysis,medium,short,0,22.9842194999801,524,8,9,9,9,8.7,ok
langgraph,P3,Q02,market_analysis,easy,short,0,15.43041800003266,385,9,9,10,9,9.3,ok
autogen,P1,Q01,market_analysis,medium,short,0,2.4126341000082903,676,9,10,8,9,9.05,ok
autogen,P1,Q02,market_analysis,easy,short,0,5.6340241999714635,307,8,9,10,9,8.95,ok
autogen,P2,Q01,market_analysis,medium,short,0,8.297036100004334,536,8,9,8,9,8.45,ok
autogen,P2,Q02,market_analysis,easy,short,0,2.7817004000535235,379,9,8,10,9,9.05,ok
autogen,P3,Q01,market_analysis,medium,short,0,6.64487120002741,719,9,10,9,9,9.3,ok
autogen,P3,Q02,market_analysis,easy,short,0,4.4620715999626555,331,9,7,10,8,8.7,ok
crewai,P1,Q01,market_analysis,medium,short,0,1.1424657000461593,16,0,5,0,2,1.8,ok
crewai,P1,Q02,market_analysis,easy,short,0,0.720227999961935,17,0,0,0,0,0.0,ok
crewai,P2,Q01,market_analysis,medium,short,0,0.7058477999526076,16,0,0,0,0,0.0,ok
crewai,P2,Q02,market_analysis,easy,short,0,0.783013199979905,17,0,0,0,0,0.0,ok
crewai,P3,Q01,market_analysis,medium,short,0,0.7961204000166617,16,0,0,0,0,0.0,ok
crewai,P3,Q02,market_analysis,easy,short,0,0.8664214999880642,17,0,0,0,1,0.1,ok
