framework,pipeline,question_id,category,difficulty,tier,seed,latency,word_count,input_tokens,output_tokens,cost,accuracy,completeness,groundedness,coherence,overall,status
autogen,P1,Q01,market_analysis,medium,short,0,12.356,509,,,,7,8,6,9,7.35,ok
autogen,P1,Q02,market_analysis,easy,short,0,7.506,336,,,,8,7,8,9,7.85,ok
autogen,P1,Q03,market_analysis,hard,short,0,10.647,517,,,,6,7.5,7,8,6.97,ok
autogen,P1,Q04,scientific_explainer,easy,short,0,11.017,713,,,,8,7,6,9,7.7,ok
autogen,P1,Q05,scientific_explainer,medium,short,0,12.075,607,,,,8,7,6,9,7.55,ok
autogen,P1,Q06,comparative_study,medium,short,0,6.347,752,,,,6,4,6,8,5.9,ok
autogen,P1,Q07,comparative_study,medium,short,0,12.357,627,,,,8,9,7,9,8.2,ok
autogen,P1,Q08,trend_report,medium,short,0,14.754,542,,,,8,7,6,8,7.15,ok
autogen,P1,Q09,trend_report,hard,short,0,14.588,661,,,,6,7,6,8,6.55,ok
autogen,P1,Q10,literature_synthesis,hard,short,0,15.003,621,,,,7,6,5,8,6.4,ok
autogen,P1,Q11,,,,0,0,0,,,,,,,,,error
autogen,P1,Q12,,,,0,0,0,,,,,,,,,error
autogen,P1,Q13,,,,0,0,0,,,,,,,,,error
autogen,P1,Q14,,,,0,0,0,,,,,,,,,error
autogen,P1,Q15,,,,0,0,0,,,,,,,,,error
autogen,P1,Q16,,,,0,0,0,,,,,,,,,error
autogen,P1,Q17,finance,medium,short,0,60.16,600,,,,9,1,3,6,4.95,ok
autogen,P1,Q18,,,,0,0,0,,,,,,,,,error
autogen,P1,Q19,,,,0,0,0,,,,,,,,,error
autogen,P1,Q20,,,,0,0,0,,,,,,,,,error
autogen,P1,Q21,,,,0,0,0,,,,,,,,,error
autogen,P1,Q22,,,,0,0,0,,,,,,,,,error
autogen,P1,Q23,,,,0,0,0,,,,,,,,,error
autogen,P1,Q24,,,,0,0,0,,,,,,,,,error
autogen,P1,Q25,,,,0,0,0,,,,,,,,,error
autogen,P2,Q01,,,,0,0,0,,,,,,,,,error
autogen,P2,Q02,,,,0,0,0,,,,,,,,,error
autogen,P2,Q03,,,,0,0,0,,,,,,,,,error
autogen,P2,Q04,,,,0,0,0,,,,,,,,,error
autogen,P2,Q05,,,,0,0,0,,,,,,,,,error
autogen,P2,Q06,,,,0,0,0,,,,,,,,,error
autogen,P2,Q07,,,,0,0,0,,,,,,,,,error
autogen,P2,Q08,,,,0,0,0,,,,,,,,,error
autogen,P2,Q09,,,,0,0,0,,,,,,,,,error
autogen,P2,Q10,,,,0,0,0,,,,,,,,,error
autogen,P2,Q11,,,,0,0,0,,,,,,,,,error
autogen,P2,Q12,,,,0,0,0,,,,,,,,,error
autogen,P2,Q13,,,,0,0,0,,,,,,,,,error
autogen,P2,Q14,,,,0,0,0,,,,,,,,,error
autogen,P2,Q15,,,,0,0,0,,,,,,,,,error
autogen,P2,Q16,,,,0,0,0,,,,,,,,,error
autogen,P2,Q17,,,,0,0,0,,,,,,,,,error
autogen,P2,Q18,,,,0,0,0,,,,,,,,,error
autogen,P2,Q19,,,,0,0,0,,,,,,,,,error
autogen,P2,Q20,,,,0,0,0,,,,,,,,,error
autogen,P2,Q21,,,,0,0,0,,,,,,,,,error
autogen,P2,Q22,,,,0,0,0,,,,,,,,,error
autogen,P2,Q23,,,,0,0,0,,,,,,,,,error
autogen,P2,Q24,,,,0,0,0,,,,,,,,,error
autogen,P2,Q25,,,,0,0,0,,,,,,,,,error
autogen,P3,Q01,,,,0,0,0,,,,,,,,,error
autogen,P3,Q02,,,,0,0,0,,,,,,,,,error
autogen,P3,Q03,,,,0,0,0,,,,,,,,,error
